TimeOffsetHours,Pred6,Backup,Acoustc
0.0,1.5900000000000001,4.6799999999999997,4.6500000000000004
0.10000000000000001,1.5,4.5499999999999998,4.54
0.20000000000000001,1.3999999999999999,4.46,4.4400000000000004
0.29999999999999999,1.3100000000000001,4.3600000000000003,4.3300000000000001
0.40000000000000002,1.22,4.2800000000000002,4.2599999999999998
0.5,1.1299999999999999,4.21,4.1799999999999997
0.59999999999999998,1.04,4.1500000000000004,4.1200000000000001
0.69999999999999996,0.94999999999999996,4.0800000000000001,4.0599999999999996
0.80000000000000004,0.87,3.9900000000000002,3.9700000000000002
0.90000000000000002,0.78000000000000003,3.9199999999999999,3.8900000000000001
1.0,0.69999999999999996,3.8700000000000001,3.8500000000000001
1.1000000000000001,0.62,3.8599999999999999,3.8300000000000001
1.2,0.55000000000000004,3.7999999999999998,3.7799999999999998
1.3,0.47999999999999998,3.7400000000000002,3.73
1.3999999999999999,0.40999999999999998,3.6800000000000002,3.6600000000000001
1.5,0.34000000000000002,3.6299999999999999,3.6200000000000001
1.6000000000000001,0.28000000000000003,3.5899999999999999,3.5800000000000001
1.7,0.23000000000000001,3.5499999999999998,3.5299999999999998
1.8,0.17999999999999999,3.5,3.48
1.8999999999999999,0.14000000000000001,3.4500000000000002,3.4199999999999999
2.0,0.10000000000000001,3.3900000000000001,3.3500000000000001
2.1000000000000001,0.080000000000000002,3.3700000000000001,3.3399999999999999
2.2000000000000002,0.059999999999999998,3.3300000000000001,3.3100000000000001
2.2999999999999998,0.050000000000000003,3.3100000000000001,3.2999999999999998
2.3999999999999999,0.050000000000000003,3.29,3.2599999999999998
2.5,0.059999999999999998,3.25,3.2200000000000002
2.6000000000000001,0.080000000000000002,3.21,3.1899999999999999
2.7000000000000002,0.11,3.1899999999999999,3.1699999999999999
2.7999999999999998,0.14000000000000001,3.1899999999999999,3.1699999999999999
2.8999999999999999,0.19,3.2000000000000002,3.1800000000000002
3.0,0.25,3.23,3.23
3.1000000000000001,0.31,3.29,3.2599999999999998
3.2000000000000002,0.39000000000000001,3.3100000000000001,3.29
3.2999999999999998,0.46999999999999997,3.3399999999999999,3.3199999999999998
3.3999999999999999,0.56000000000000005,3.3900000000000001,3.3700000000000001
3.5,0.66000000000000003,3.4399999999999999,3.4100000000000001
3.6000000000000001,0.76000000000000001,3.4900000000000002,3.46
3.7000000000000002,0.87,3.5699999999999998,3.54
3.7999999999999998,0.97999999999999998,3.6699999999999999,3.6499999999999999
3.8999999999999999,1.1000000000000001,3.7799999999999998,3.7599999999999998
4.0,1.22,3.8700000000000001,3.8500000000000001
4.0999999999999996,1.3500000000000001,3.96,3.9500000000000002
4.2000000000000002,1.48,4.0899999999999999,4.0599999999999996
4.2999999999999998,1.6100000000000001,4.1900000000000004,4.1799999999999997
4.4000000000000004,1.74,4.3600000000000003,4.3300000000000001
4.5,1.8799999999999999,4.4900000000000002,4.46
4.5999999999999996,2.0099999999999998,4.5899999999999999,4.5700000000000003
4.7000000000000002,2.1499999999999999,4.6799999999999997,4.6600000000000001
4.7999999999999998,2.2799999999999998,4.79,4.7699999999999996
4.9000000000000004,2.4100000000000001,4.9000000000000004,4.8799999999999999
5.0,2.5499999999999998,5.0099999999999998,4.9800000000000004
5.0999999999999996,2.6800000000000002,5.1200000000000001,5.1100000000000003
5.2000000000000002,2.8100000000000001,5.2599999999999998,5.2400000000000002
5.2999999999999998,2.9399999999999999,5.3799999999999999,5.3499999999999996
5.4000000000000004,3.0600000000000001,5.5199999999999996,5.5
5.5,3.1899999999999999,5.6900000000000004,5.6699999999999999
5.5999999999999996,3.3100000000000001,5.8399999999999999,5.8300000000000001
5.7000000000000002,3.4300000000000002,5.9699999999999998,5.96
5.7999999999999998,3.5499999999999998,6.1299999999999999,6.1100000000000003
5.9000000000000004,3.6600000000000001,6.2599999999999998,6.2400000000000002
6.0,3.7799999999999998,6.3899999999999997,6.3799999999999999
6.0999999999999996,3.8900000000000001,6.5300000000000002,6.5099999999999998
6.2000000000000002,3.9900000000000002,6.6799999999999997,6.6600000000000001
6.2999999999999998,4.0999999999999996,6.8399999999999999,6.8200000000000003
6.4000000000000004,4.2000000000000002,7.0,6.9800000000000004
6.5,4.2999999999999998,7.1299999999999999,7.0999999999999996
6.5999999999999996,4.3899999999999997,7.25,7.2300000000000004
6.7000000000000002,4.4800000000000004,7.3600000000000003,7.3200000000000003
6.7999999999999998,4.5700000000000003,7.46,7.4299999999999997
6.9000000000000004,4.6600000000000001,7.5599999999999996,7.5300000000000002
7.0,4.7300000000000004,7.6500000000000004,7.6200000000000001
7.0999999999999996,4.8099999999999996,7.71,7.71
7.2000000000000002,4.8899999999999997,7.7999999999999998,7.7800000000000002
7.2999999999999998,4.9500000000000002,7.9000000000000004,7.8799999999999999
7.4000000000000004,5.0199999999999996,8.0199999999999996,7.9800000000000004
7.5,5.0800000000000001,8.0700000000000003,8.0399999999999991
7.5999999999999996,5.1299999999999999,8.1199999999999992,8.0999999999999996
7.7000000000000002,5.1799999999999997,8.2599999999999998,8.2300000000000004
7.7999999999999998,5.2300000000000004,8.3599999999999994,8.3100000000000005
7.9000000000000004,5.2699999999999996,8.4700000000000006,8.3499999999999996
8.0,5.2999999999999998,8.5299999999999994,8.3499999999999996
8.0999999999999996,5.3300000000000001,8.5800000000000001,8.3499999999999996
8.1999999999999993,5.3499999999999996,8.5800000000000001,8.3499999999999996
8.3000000000000007,5.3700000000000001,8.5999999999999996,8.3499999999999996
8.4000000000000004,5.3799999999999999,8.6699999999999999,8.3599999999999994
